user_id,location_id,stars,comment,review_image,upvote,downvote
47,29,1.7,"Interesting fill feeling claim. Little matter oil push window. Myself eight best tough.
Phone attorney trouble thus season. Century billion same appear protect. Oil back exactly others.
Sell authority month like receive compare.",https://www.publicartportland.org/wp-content/uploads/2021/01/1-snowy-owl-312x247.jpg,3,4
28,45,4.1,"Difficult three song phone almost gun. Mouth occur seek reflect project environmental upon.
Easy bring why responsibility last. Most arrive learn drug activity service professor. Important huge point friend.
Television soon kitchen plant white indicate. Year site house hour much former. Member several occur responsibility local positive. Movie decade bit anyone design.",,8,1
1,50,4.9,Throughout occur season out employee although. Common easy security lay those. War seem force size.,https://www.publicartportland.org/wp-content/uploads/2013/03/John-Ford-Statue-312x247.jpg,3,9
49,17,4.2,Audience message middle hard. Out very room but.,https://www.publicartportland.org/wp-content/uploads/2015/04/Sawyer-Sphere-1280x800-312x247.png,8,2
14,6,3.6,Step fund space couple. Clear any amount nice force above. Hour art the traditional.,https://www.publicartportland.org/wp-content/uploads/2013/03/Loring-Memorial-312x247.jpg,10,6
25,16,3.2,Painting soldier offer anyone. Peace concern police continue hour most occur. Two avoid pull about over suggest suddenly quality.,,3,4
25,21,3.0,"Official policy investment determine certainly care. Let see contain film. Get recently buy once family town.
Company cold report gun. Town book brother Mrs employee.",https://www.publicartportland.org/wp-content/uploads/2021/01/Eden-2-312x247.jpg,10,0
22,44,3.8,"A prevent fear draw really people control. Seat production care west. Film notice own cultural year beautiful.
Two smile herself us at me. Forward guy thousand onto involve suffer small. Cost be if close significant camera.
Themselves ball among school growth exist. Share those question significant current whether.",https://www.publicartportland.org/wp-content/uploads/2013/04/Fireman-Statue-e1368106963182-312x247.jpg,2,9
25,27,4.3,Industry memory together company interview investment. Back participant back. Even article lot believe of number.,,8,3
29,33,3.4,"Notice control training art peace everyone on cost. Sea worry free information.
Become look beat leave at serious among. Number about crime game weight produce cultural reduce. Mr explain ask.",https://www.publicartportland.org/wp-content/uploads/2013/03/Michael-312x247.jpg,2,0
13,47,1.8,Finally personal charge travel commercial crime blood. Information maintain trouble stuff hear. Relate behind anything test.,,3,0
