location_name,location_type,address,description,location_image, latitude, longitude
Pinecone,Sculpture,Deering Oaks Park,"Pinecone is a sculpture made of salvaged steel shovels by Maine artist Patrick Plourde, located in Deering Oaks Park and accepted as a gift to the public art permanent collection to honor Alice Spencer, founder of TEMPOArt, a non-profit arts organization based in Portland, Maine, for her public art support and leadership in Portland. The sculpture is placed near the base of tall pine trees with juxtaposition of sculpture and site to suggest a found object in the landscape.",https://www.publicartportland.org/wp-content/uploads/2023/06/Preference-Pinecone1-312x247.jpg,43.65871322509997,-70.27230937271118
Passing the Torch,Sculpture,Deering Ave Roundabout,"Passing the Torch is a collection of three illuminated bronze sculpture mounted on Maine granite by artist, Mark Pettegrow. The artwork contributes as a visual gateway into Portland, located within the Deering Avenue Roundabout that was completed in 2021.",https://www.publicartportland.org/wp-content/uploads/2023/06/Preference-Passing-the-Torch1-312x247.jpg,43.6715641,-70.2965459
Great Black Hawk,Sculpture,Deering Oaks Park,"The Great Black Hawk is a bronze sculpture by Maine wildlife sculptor, David Smus. It is in commemoration of the rare appearance of a juvenile great black hawk in Portland, Maine in the early winter of 2018-2019.",https://www.publicartportland.org/wp-content/uploads/2020/09/great-black-hawk-2-669h-312x247.png,43.65871322509997,-70.27200937271118
Luminous Arbor,Sculpture,Woodfords Corner,"In its simplest interpretation, Luminous Arbor is a light fixture. It is composed of a cluster of streetlights in keeping with familiar public lighting features. Here, however, the lights come to life. Rising from a single foundation, the light poles gradually diverge into individual intertwining paths . . . suggesting a tree, a swarm, or a choreographed dance . . . In this way Luminous Arbor will both illuminate and create a visual anchor at Woodfords Corner and the surrounding communities.",https://www.publicartportland.org/wp-content/uploads/2018/12/unspecified-312x247.jpg,43.6703594,-70.2842153
Lion's Head,Sculpture,129 Island Ave,"Artist Bernard Langlais said of his native Maine, “I feel a sense of oneness with the state.” Langlais forged his early career in Europe and New York City, but his rustic sensibilities, desire to work more immediately with his hands, and to work on a larger scale brought him back to Maine in the late 1960s.",https://www.publicartportland.org/wp-content/uploads/2015/05/Langlais-Lion-Head-1280x800-312x247.png,43.6583394,-70.1983239
Standing Bear,Sculpture,14 Ocean Gateway Pier,"Artist Bernard Langlais said of his native Maine, “I feel a sense of oneness with the state.” Langlais forged his early career in Europe and New York City, but his rustic sensibilities, desire to work more immediately with his hands, and to work on a larger scale brought him back to Maine in the late 1960s.Standing Bear was made in 1977 during his most productive years.  This sculpture is one of several gifted by the Langlais Estate to the City of Portland through Colby College and the Kohler Foundation.",https://www.publicartportland.org/wp-content/uploads/2015/04/Langlais-Bear-1280x800-312x247.png,43.6598936,-70.2465363
Link,Sculpture,1001 Westbrook St,"Jesse Salisbury’s Link series is a sculptural experiment of modular interlocking forms.  The forms are carved and split from a single rectangular granite block and then the separated forms are moved around each other to form the finished sculpture arrangement.  The result is a reductive sculpture larger than the original block with various forms possible depending on how the modular parts are arranged around each other.  In particular Salisbury likes to contrast the raw split texture of the original granite block with the carved facets.  The textures and motion of the sculpture creates a visual puzzle for the viewer to ponder the interior and exterior spaces, as well as contemplate the construction and movement.",https://www.publicartportland.org/wp-content/uploads/2014/10/Link-312x247.jpg,43.6473301,-70.3101787
Acrobatic Dogs,Sculpture,1001 Westbrook St,"Artist Bernard Langlais said of his native Maine, “I feel a sense of oneness with the state.” Langlais forged his early career in Europe and New York City, but his rustic sensibilities, desire to work more immediately with his hands, and to work on a larger scale brought him back to Maine in the late 1960s. Acrobatic Dogs was made in 1977 during his most productive years.  This sculpture is one of several gifted by the Langlais Estate to the City of Portland through Colby College and the Kohler Foundation.",https://www.publicartportland.org/wp-content/uploads/2014/10/Acrobatic-Dogs-at-PPL-312x247.jpg,43.6473301,-70.3101787
A Spirit Of Its Own,Sculpture,1001 Westbrook St,"A Spirit Of Its Own was inspired by Jay Sawyer’s close friend and mentor, David McLaughlin, also a welder/sculptor. McLaughlin passed away in 2010 and bequeathed to Sawyer his coveted collection of steel shear rings, used in the construction of the trusses in hangars at the Brunswick Naval Air Station. His hope was that Sawyer would use the shear rings in other pieces. With that in mind, Sawyer created A Spirit Of Its Own using some of McLaughlin’s remaining shear rings.",https://www.publicartportland.org/wp-content/uploads/2015/04/Sawyer-Sphere-1280x800-312x247.png,43.6473301,-70.3101787
Playing Bears,Sculpture,1001 Westbrook St,"Artist Bernard Langlais said of his native Maine, “I feel a sense of oneness with the state.” Langlais forged his early career in Europe and New York City, but his rustic sensibilities, desire to work more immediately with his hands, and to work on a larger scale brought him back to Maine in the late 1960s. Playing Bears was made in 1976-77, some of his most productive years.  This sculpture is one of several gifted by the Langlais Estate to the City of Portland through Colby College and the Kohler Foundation.",https://www.publicartportland.org/wp-content/uploads/2014/10/Playing-Bears-at-Jetport-312x247.jpg,43.6473301,-70.3101787
